pos2 → pos3 Transformation Analysis
Generated: 05/31/2026 13:15:26

=== pos2 Msg 2  →  pos3 Msg 3 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
   17 |  124 |  132 |      8 |      3 |       8 |        8
   18 |  142 |  233 |     91 |      1 |      16 |       91
   19 |  133 |   21 |   -112 |     -2 |     -12 |     -112
   20 |   30 |  241 |    211 |      1 |      11 |       86
   21 |   23 |   21 |     -2 |     -2 |      -2 |       -2
   22 |  113 |  143 |     30 |      0 |       5 |       30
   23 |  110 |    3 |   -107 |     -2 |      -7 |     -107
   24 |  120 |  232 |    112 |      2 |      12 |      112

=== pos2 Msg 32  →  pos3 Msg 33 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |   21 |  300 |    279 |      4 |       4 |       29
    1 |  142 |  133 |     -9 |     -4 |      -9 |       -9
    2 |  140 |  220 |     80 |      0 |       5 |       80
    3 |  213 |  214 |      1 |      1 |       1 |        1
    4 |  233 |  232 |     -1 |     -1 |      -1 |       -1
    5 |  234 |  223 |    -11 |     -1 |     -11 |      -11
    6 |  304 |  132 |   -172 |     -2 |     -22 |      -47
    7 |  100 |  144 |     44 |      4 |      19 |       44
    8 |  123 |  113 |    -10 |      0 |     -10 |      -10
    9 |  140 |  130 |    -10 |      0 |     -10 |      -10
   10 |  243 |  230 |    -13 |     -3 |     -13 |      -13
   11 |  142 |  304 |    162 |      2 |      12 |       37
   12 |  233 |  302 |     69 |      4 |      19 |       69
   13 |  200 |   12 |   -188 |     -3 |     -13 |      -63
   14 |  114 |    3 |   -111 |     -1 |     -11 |     -111
   15 |  140 |  101 |    -39 |     -4 |     -14 |      -39
   16 |  303 |  222 |    -81 |     -1 |      -6 |      -81
   17 |  101 |  111 |     10 |      0 |      10 |       10
   18 |  304 |  303 |     -1 |     -1 |      -1 |       -1
   19 |  212 |  101 |   -111 |     -1 |     -11 |     -111
   20 |    4 |  212 |    208 |      3 |       8 |       83
   21 |  211 |  234 |     23 |      3 |      23 |       23
   22 |   42 |  130 |     88 |      3 |      13 |       88
   23 |  220 |    4 |   -216 |     -1 |     -16 |      -91
   24 |   33 |   43 |     10 |      0 |      10 |       10

=== pos2 Msg 37  →  pos3 Msg 38 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |  311 |  133 |   -178 |     -3 |      -3 |      -53
    1 |   43 |  231 |    188 |      3 |      13 |       63
    2 |   44 |  142 |     98 |      3 |      23 |       98
    3 |  200 |  203 |      3 |      3 |       3 |        3
    4 |  212 |  114 |    -98 |     -3 |     -23 |      -98
    5 |  110 |  231 |    121 |      1 |      21 |      121
    6 |  241 |   43 |   -198 |     -3 |     -23 |      -73
    7 |  300 |  243 |    -57 |     -2 |      -7 |      -57
    8 |  101 |  111 |     10 |      0 |      10 |       10
    9 |  233 |  204 |    -29 |     -4 |      -4 |      -29
   10 |  204 |  123 |    -81 |     -1 |      -6 |      -81
   11 |  212 |  302 |     90 |      0 |      15 |       90
   12 |  211 |  232 |     21 |      1 |      21 |       21
   13 |  200 |   21 |   -179 |     -4 |      -4 |      -54
   14 |  241 |  223 |    -18 |     -3 |     -18 |      -18
   15 |  243 |  304 |     61 |      1 |      11 |       61
   16 |   24 |   11 |    -13 |     -3 |     -13 |      -13
   17 |   41 |   42 |      1 |      1 |       1 |        1
   18 |   13 |   41 |     28 |      3 |       3 |       28
   19 |  112 |  201 |     89 |      4 |      14 |       89
   20 |  101 |  234 |    133 |      3 |       8 |        8
   21 |  223 |  244 |     21 |      1 |      21 |       21
   22 |   10 |   41 |     31 |      1 |       6 |       31
   23 |  122 |   10 |   -112 |     -2 |     -12 |     -112
   24 |   34 |   32 |     -2 |     -2 |      -2 |       -2

=== pos2 Msg 42  →  pos3 Msg 43 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |  232 |  140 |    -92 |     -2 |     -17 |      -92
    1 |  203 |  132 |    -71 |     -1 |     -21 |      -71
    2 |   12 |  310 |    298 |      3 |      23 |       48
    3 |  114 |  100 |    -14 |     -4 |     -14 |      -14
    4 |  112 |   22 |    -90 |      0 |     -15 |      -90
    5 |  110 |   42 |    -68 |     -3 |     -18 |      -68
    6 |  111 |  301 |    190 |      0 |      15 |       65
    7 |   34 |   40 |      6 |      1 |       6 |        6
    8 |  101 |  201 |    100 |      0 |       0 |      100
    9 |   13 |  222 |    209 |      4 |       9 |       84
   10 |  114 |   41 |    -73 |     -3 |     -23 |      -73
   11 |  141 |  130 |    -11 |     -1 |     -11 |      -11
   12 |   12 |   14 |      2 |      2 |       2 |        2
   13 |  110 |  131 |     21 |      1 |      21 |       21
   14 |  241 |   20 |   -221 |     -1 |     -21 |      -96
   15 |  210 |  134 |    -76 |     -1 |      -1 |      -76
   16 |  114 |  243 |    129 |      4 |       4 |        4
   17 |  300 |   13 |   -287 |     -2 |     -12 |      -37
   18 |  204 |  113 |    -91 |     -1 |     -16 |      -91
   19 |   14 |  240 |    226 |      1 |       1 |      101
   20 |   11 |  243 |    232 |      2 |       7 |      107
   21 |  220 |   11 |   -209 |     -4 |      -9 |      -84
   22 |   10 |  111 |    101 |      1 |       1 |      101
   23 |   43 |   41 |     -2 |     -2 |      -2 |       -2
   24 |  100 |  242 |    142 |      2 |      17 |       17

